npi,entity_type_code,provider_org_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential,provider_business_address_1,provider_business_address_2,provider_business_city,provider_business_state,provider_business_zip,taxonomy_code,provider_business_zip5
1861496242,2,SPRINGFIELD SURGERY PC,,,,,,,322 NORTHCREST DR,,SPRINGFIELD,TN,371723963,2086S0129X,37172
1215932413,2,"ANESTHESIA MEDICAL GROUP, PC",,,,,,,110 29TH AVE N,STE 301,NASHVILLE,TN,37203,207L00000X,37203
1780689505,2,DIALYSIS CLINIC INC,,,,,,,1616 HAYES ST,,NASHVILLE,TN,372033011,291U00000X,37203
1225033061,2,HOME HEALTHCARE LABORATORY OF AMERICA INC,,,,,,,320 PREMIER CT,STE 220,FRANKLIN,TN,370678252,291U00000X,37067
1417952268,2,DIALYSIS CLINIC INC,,,,,,,2917 FOSTER CREIGHTON DR,,NASHVILLE,TN,372043705,291U00000X,37204
1457357998,2,"PRESCRIPTION CHOICE, INC.",,,,,,,109 N CEDAR ST,,CROSS PLAINS,TN,370492508,332B00000X,37049
1205832797,2,COUNTY OF RUTHERFORD OFFICE OF BUDGET DIRECTOR,,,,,,,611 E LYTLE ST,,MURFREESBORO,TN,371303919,3416L0300X,37130
1639175094,2,AGILITAS USA INC,,,,,,,6688 NOLENSVILLE RD STE 112,,BRENTWOOD,TN,370278861,261QP2000X,37027
1043216096,2,MEDIC ONE AMBULANCE,,,,,,,1000 ELM HILL PIKE,,NASHVILLE,TN,372103504,341600000X,37210
1851397764,2,"NAVIGATOR HEALTH MANAGEMENT SOLUTIONS, INC.",,,,,,,1000 CORPORATE CENTRE DR,STE 100,FRANKLIN,TN,370676208,332BP3500X,37067
1750387635,2,"TENNESSEE ADVANCED NEURODIAGNOSTIC INSTITUTE, INC. (TANII)",,,,,,,4525 HARDING RD,STE 102,NASHVILLE,TN,372052145,261QM1200X,37205
1235135062,2,"SENIOR HEALTH GROUP, INC.",,,,,,,176 THOMPSON LN,SUITE G-5,NASHVILLE,TN,372112448,332B00000X,37211
1396741120,2,"LUNG CENTER, PC",,,,,,,1222 TROTWOOD AVE,STE 601,COLUMBIA,TN,384016410,174400000X,38401
1275530891,2,MCMINNVILLE DRUG CENTER INC,,,,,,,1500 SPARTA ST,,MCMINNVILLE,TN,371101317,3336C0003X,37110
1356348684,2,"WILLOWBROOK HOME HEALTH CARE AGENCY, INC.",,,,,,,1451 ELM HILL PIKE,SUITE 102,NASHVILLE,TN,372104536,251E00000X,37210
1174520407,2,"WILLOWBROOK HEALTH & HOME SERVICES, INC.",,,,,,,1451 ELM HILL PIKE,SUITE 201,NASHVILLE,TN,372104560,261QM1300X,37210
1083611313,2,COMPREHENSIVE REHABILITATION OF LAFAYETTE INC,,,,,,,602 RED BOILING SPRINGS ROAD,,LAFAYETTE,TN,370831713,261QR0400X,37083
1578560785,2,"PRODUCTIVEMD, LLC",,,,,,,330 MALLORY STATION RD,F17,FRANKLIN,TN,370672859,293D00000X,37067
1790782027,2,"WILLOWBROOK HOSPICE, INC.",,,,,,,235 NOAH DR STE 300,,FRANKLIN,TN,370644048,251G00000X,37064
1225035355,2,LABORATORY FOR KIDNEY PATHOLOGY INC,,,,,,,1916 PATTERSON ST,SUITE 501,NASHVILLE,TN,372032120,291U00000X,37203
1427055425,2,PHYSICIANS PAVILION LP,,,,,,,545 STONECREST PKWY,,SMYRNA,TN,371676804,261QA1903X,37167
1235136987,2,DIABETES CORPORATION OF AMERICA,,,,,,,233 BEDFORD WAY,,FRANKLIN,TN,370645527,333600000X,37064
1477550192,2,"GORDIAN MEDICAL X, INC.",,,,,,,1097 WESTON DR,SUITE B,MOUNT JULIET,TN,37122,332B00000X,37122
1083611990,2,ASSOCIATED ENDOSCOPY LLC,,,,,,,5651 FRIST BLVD,SUITE 307,HERMITAGE,TN,370762054,261QE0800X,37076
1215935770,2,"PHARMACARE COMPOUNDING PHARMACY, LLC",,,,,,,1097 WESTON DR,,MT JULIET,TN,371223493,3336C0003X,37122
1902804271,2,"PAIN MANAGEMENT GROUP, P.C.",,,,,,,5801 CROSSINGS BLVD,,ANTIOCH,TN,37013,208VP0014X,37013
1912905183,2,"AVALON HEALTH CARE, LLC",,,,,,,421 OCALA DR,,NASHVILLE,TN,372116387,314000000X,37211
1134127392,2,"AVALON HEALTH CARE, LLC.",,,,,,,329 MURFREESBORO RD,,NASHVILLE,TN,372102834,314000000X,37210
1255339396,2,"NOPCO OF TENNESSEE, INC.",,,,,,,1707 STATE ST,,NASHVILLE,TN,372032929,222Z00000X,37203
1386642239,2,"MEDTRAC SOLUTIONS, INC.",,,,,,,714 S CHURCH ST,SUITE B,MURFREESBORO,TN,371304926,332B00000X,37130
1164421913,2,"IHS ACQUISITION XXX, INC.",,,,,,,2525 PERIMETER PLACE DR,SUITE 100,NASHVILLE,TN,372143674,333600000X,37214
1699774109,2,"THE CENTER FOR CYTOGENETICS, INC",,,,,,,1719 W END AVE,SUITE 403E,NASHVILLE,TN,372035120,291U00000X,37203
1831198332,2,HMC MEDICAL GROUP,,,,,,,214 CENTERVIEW DR,SUITE 350,BRENTWOOD,TN,370275274,207Q00000X,37027
1871592139,2,LIFEGUARD AMBULANCE SERVICE OF TENNESSEE LLC,,,,,,,1933 ELM TREE DR,,NASHVILLE,TN,372103717,341600000X,37210
1225038011,2,RHA TENNESSEE GROUP HOMES,,,,,,,3350 MEMORIAL BLVD,,MURFREESBORO,TN,371290208,315P00000X,37129
1215937982,2,SELECT SPECIALTY HOSPITAL NASHVILLE INC,,,,,,,2000 HAYES STREET,SUITE 500,NASHVILLE,TN,372360001,282E00000X,37236
1487654927,2,COUNTY OF SUMNER,,,,,,,255 AIRPORT RD.,,GALLATIN,TN,37066,3416L0300X,37066
1508866898,2,"COMMUNITY CARE OF RUTHERFORD COUNTY, INC.",,,,,,,901EAST COUNTY FARM RD,,MURFREESBORO,TN,371276328,314000000X,37127
1629078670,2,MIDDLE TENNESSEE FAMILY MEDICINE,,,,,,,237 W NORTHFIELD BLVD STE 101,,MURFREESBORO,TN,371290531,207Q00000X,37129
1700886868,2,HARPETH TERRACE CONVALESCENT CENTER,,,,,,,1287 W MAIN ST,,FRANKLIN,TN,370643333,,37064
1235130212,2,"FRANKLIN UROLOGICAL ASSOCIATES, P.C.",,,,,,,100 COVEY DR,STE 207,FRANKLIN,TN,370675665,208800000X,37067
1649271578,2,"ODYSSEY HEALTHCARE OPERATING A, LP",,,,,,,1321 MURFREESBORO PIKE STE 510,,NASHVILLE,TN,372172655,251G00000X,37217
1295736908,2,MARSHALL COUNTY GOVERNMENT,,,,,,,728 SOUTH ELLINGTON PARKWAY,,LEWISBURG,TN,370913460,3416L0300X,37091
1225039761,2,ENDOSCOPY CENTER OF ST THOMAS LP,,,,,,,4230 HARDING RD,SUITE 400,NASHVILLE,TN,372052013,261QA1903X,37205
1104827534,2,"PROHEALTH RURAL HEALTH SERVICES, INC",,,,,,,1325 W MAIN ST,,FRANKLIN,TN,370643786,261QF0400X,37064
1205838018,2,"PLASTIC SURGERY CTR OF NASHVILLE, PLLC",,,,,,,1915 STATE ST,,NASHVILLE,TN,372032209,208200000X,37203
1093717845,2,"NASHVILLE PLASTIC SURGERY INSTITUTE, PLLC",,,,,,,2020 21ST AVE S STE 100,,NASHVILLE,TN,372124354,208200000X,37212
1952303539,2,"FRANKLIN DERMATOLOGY GROUP, PLC",,,,,,,740 COOL SPRINGS BLVD.,#200,FRANKLIN,TN,37067,207N00000X,37067
1265434708,2,SPIROCARE DME LLC,,,,,,,3325 ASPEN GROVE DR STE 104,,FRANKLIN,TN,370672905,332BX2000X,37067
1588656508,2,SAINT THOMAS CAMPUS SURGICARE LP,,,,,,,4230 HARDING PIKE,"PLAZA EAST, SUITE 300",NASHVILLE,TN,372052013,261QA1903X,37205
1164414983,2,"HARPETH PEDIATRICS, PLLC",,,,,,,4085 MALLORY LN,STE. 204,FRANKLIN,TN,370678290,208000000X,37067
1326030156,2,"TENNESSEE ORTHOPEDICS, P.C.",,,,,,,101 PHYSICIANS WAY,STE. 111,LEBANON,TN,37090,207X00000X,37090
1396737128,2,TENNESSEE ORTHOPEDICS PT CLINIC,,,,,,,1018 W MAIN ST,,LEBANON,TN,370873302,225100000X,37087
1700878360,2,"NEPHROLOGY ASSOCIATES, PC",,,,,,,28 WHITE BRIDGE RD,STE. 300,NASHVILLE,TN,372051499,207RN0300X,37205
1205828662,2,"COMMUNITY PHARMACY CARE, INC.",,,,,,,7723 CLEARVIEW CHURCH LN,,LYLES,TN,370981609,183500000X,37098
1053303305,2,"SAMARITAN RECOVERY COMMUNITY, INC.",,,,,,,319 S 4TH ST,,NASHVILLE,TN,372064103,324500000X,37206
1194718346,2,REGENTS MEDICAL CENTER PC,,,,,,,254 REN MAR DR,SUITE 100,PLEASANT VIEW,TN,371467107,207R00000X,37146
1225021348,2,TENNESSEE STATE VETERANS HOME BOARD,,,,,,,345 COMPTON ROAD,,MURFREESBORO,TN,371301352,314000000X,37130
1669465654,2,HERMITAGE PSYCHIATRIC GROUP,,,,,,,5653 FRIST BLVD,SUITE 331,HERMITAGE,TN,370762062,2084P0800X,37076
1609869247,2,MOORE LIFE ENTERPRISES INC,,,,,,,1412 COUNTY HOSPITAL RD,,NASHVILLE,TN,372183007,208M00000X,37218
1396738720,2,POLITZER AND DUROCHER PLC,,,,,,,4322 HARDING PIKE,SUITE 214,NASHVILLE,TN,372052490,152W00000X,37205
1538153937,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,8 CITY BLVD,SUITE 300,NASHVILLE,TN,372092560,207X00000X,37209
1497749899,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,1800 MEDICAL CENTER PARKWAY,SUITE 200,MURFREESBORO,TN,37129,207X00000X,37129
1205820610,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,300 STONECREST BLVD,SUITE 300,SMYRNA,TN,371675688,207X00000X,37167
1831183250,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,4230 HARDING PIKE STE 1000,,NASHVILLE,TN,372052098,207X00000X,37205
1568456986,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,3443 DICKERSON PIKE,SUITE 480,NASHVILLE,TN,372072519,207X00000X,37207
1821082702,2,CLARKSVILLE ENDOSCOPY CENTER,,,,,,,132 HILLCREST DR,,CLARKSVILLE,TN,370435000,261QE0800X,37043
1750375499,2,EMI II INC.,,,,,,,106 FREE HILL RD,,HENDERSONVILLE,TN,370753495,332BX2000X,37075
1689668329,2,"ED MEDICAL, INC.",,,,,,,106 FREE HILL ROAD,,HENDERSONVILLE,TN,370753495,332BX2000X,37075
1457346702,2,DUE WEST FAMILY HEALTHCARE INC,,,,,,,607 W DUE WEST AVE STE 102,,MADISON,TN,371154420,207Q00000X,37115
1629063995,2,JOHN OVERHOLT MD PLLC,,,,,,,400 SUGARTREE LN,SUITE 100,FRANKLIN,TN,370643071,174400000X,37064
1265427538,2,D L BROWN PRIMARY CARE CENTER,,,,,,,3109 JOHN A MERRITT BLVD,,NASHVILLE,TN,372091509,,37209
1720073893,2,KNOWLES HOME ASSISTED LIVING & DAY CARE SERVICES,,,,,,,1010 CAMILLA CALDWELL LN,,NASHVILLE,TN,372183000,310400000X,37218
1225023393,2,"MID-STATE PULMONARY ASSOCIATES, PLLC",,,,,,,300 20TH AVE N,SUITE 503,NASHVILLE,TN,372032131,207RP1001X,37203
1679568745,2,"NASHVILLE INPATIENT MANAGEMENT SERVICES, PLC",,,,,,,300 20TH AVE N,SUITE 503,NASHVILLE,TN,372032131,207RC0200X,37203
1083609168,2,BORDEAUX LONG TERM CARE,,,,,,,1414 COUNTY HOSPITAL RD,,NASHVILLE,TN,372183023,314000000X,37218
1144215047,2,METRO PUBLIC HEALTH DEPARTMENT,,,,,,,526 8TH AVE S,,NASHVILLE,TN,372034139,261Q00000X,37203
1528053311,2,"AMERICAN ENDOSCOPY CENTER, P.C.",,,,,,,1308 BRIARVILLE RD,,MADISON,TN,371155127,261QA1903X,37115
1518952308,2,"NASHVILLE DIGESTIVE DISEASE CENTER, P.C.",,,,,,,1308 BRIARVILLE RD,,MADISON,TN,371155127,207RG0100X,37115
1063407856,2,MIDSTATE HEALTH ASSOCIATES INC,,,,,,,2201 MURPHY AVE,SUITE # 220,NASHVILLE,TN,372031835,208D00000X,37203
1093700833,2,GOODLETTSVILLE PEDIATRICS PC,,,,,,,3103 BUSINESS PARK CIR STE 100,,GOODLETTSVILLE,TN,370723676,208000000X,37072
1194710707,2,DICKSON MEDICAL EQUIPMENT INC.,,,,,,,760 HIGHWAY 46 S,,DICKSON,TN,370552556,332BX2000X,37055
1366438640,2,RIVERGATE PEDIATRICS PC,,,,,,,807 MEADOWLARK LN,,GOODLETTSVILLE,TN,370722307,208000000X,37072
1740276450,2,"MID-STATE CARDIOLOGY ASSOCIATES, P.C.",,,,,,,222 22ND AVE N,SUITE 400,NASHVILLE,TN,372031852,174400000X,37203
1912994625,2,"UNIVITA OF TENNESSEE, INC.",,,,,,,947 WOODLAND ST,,NASHVILLE,TN,372063753,332BC3200X,37206
1700873171,2,COLUMBIA MEDICAL GROUP-SOUTHERN HILLS INC,,,,,,,397 WALLACE RD BLDG C,SUITE 100,NASHVILLE,TN,372114854,207Q00000X,37211
1972590388,2,"HENDERSONVILLE OB/GYN, LLC",,,,,,,353 NEW SHACKLE ISLAND RD,SUITE 221B,HENDERSONVILLE,TN,370752379,207V00000X,37075
1821085259,2,MEDICAL GROUP SUMMIT INC,,,,,,,3901 CENTRAL PIKE,SUITE 352,HERMITAGE,TN,370763419,207R00000X,37076
1114914579,2,ARTHRITIS SPECIALISTS OF NASHVILLE INC,,,,,,,2410 PATTERSON ST,SUITE 500,NASHVILLE,TN,372031551,207RR0500X,37203
1679560023,2,COLUMBIA MEDICAL GROUP - THE FRIST CLINIC INC,,,,,,,2400 PATTERSON ST,SUITE 400,NASHVILLE,TN,372031562,207R00000X,37203
1184611501,2,MEDICAL GROUP-STONECREST INC,,,,,,,300 STONECREST BLVD,SUITE 110,SMYRNA,TN,371675688,207R00000X,37167
1336136779,2,"SUMMIT SLEEP AND LUNG ASSOCIATES, P.C.",,,,,,,3901 CENTRAL PIKE,SUITE 352,HERMITAGE,TN,370763419,207RP1001X,37076
1134116510,2,ARTHRITIS SPECIALISTS OF NASHVILLE INC,,,,,,,3443 DICKERSON PIKE,SUITE 520,NASHVILLE,TN,372072519,207RR0500X,37207
1669469805,2,"EDGEFIELD REHABILITATION, LLC",,,,,,,610 GALLATIN AVE,,NASHVILLE,TN,372063225,282N00000X,37206
1154318954,2,MEMORIAL DRIVE FAMILY PRACTICE,,,,,,,306 LANDRUM PL,,CLARKSVILLE,TN,370434648,207Q00000X,37043
1891782637,2,AGAPEE SURGICAL ASSOCIATES INC.,,,,,,,607 W DUE WEST AVE STE 102,,MADISON,TN,371154420,208600000X,37115
1205824984,2,"R. P. SABO, M.D., P.C.",,,,,,,1524 SPARTA ST,,MC MINNVILLE,TN,371101317,207RN0300X,37110
1902894330,2,"I V SOLUTIONS, INC.",,,,,,,217 W MAPLEWOOD LANE,,NASHVILLE,TN,372072973,3336H0001X,37207
1487642765,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,1616 GALLATIN RD N,,MADISON,TN,371152104,261QU0200X,37115
1548258825,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,339 WHITE BRIDGE PIKE,,NASHVILLE,TN,372093208,261QU0200X,37209
1891783981,2,"SUMMIT BONE & JOINT, PLLC",,,,,,,5653 FRIST BLVD,SUITE 731,HERMITAGE,TN,37076,207X00000X,37076
1538157649,2,DIVERSICARE LEASING CORP.,,,,,,,200 MAYFIELD DR,,SMYRNA,TN,371673019,314000000X,37167
1124017959,2,VANDERBILT UNIVERSITY MEDICAL SCHOOL,,,,,,,VANDERBILT UNIVERSITY DIVISION OF MEDICAL GENETICS,DD 2205 MCN,NASHVILLE,TN,372320001,170300000X,37232
1528057254,2,DENTISTRY AND FASTBRACES PC,,,,,,,107 NEW BRICK CHURCH PIKE,SUITE C,GOODLETTSVILLE,TN,370721545,261QD0000X,37072
1174512750,2,SGJ & P INC,,,,,,,516-B WEST MAIN STREET,,SMITHVILLE,TN,371660299,183500000X,37166
1790774206,2,"MID-STATE PHYSICIANS, LLC",,,,,,,2400 PATTERSON ST,,NASHVILLE,TN,372031562,207RC0000X,37203
1104815430,2,NASHVILLE BONE AND JOINT PLLC,,,,,,,5651 FRIST BLVD,SUITE 400,HERMITAGE,TN,370762054,207X00000X,37076
1528057791,2,MAURY REGIONAL HOSPITAL,,,,,,,830 HATCHER LN,,COLUMBIA,TN,384013528,251E00000X,38401
1154310241,2,SHELLEY ANN SIGUR DDS PC,,,,,,,1926 HWY 46 S,,DICKSON,TN,370552754,1223G0001X,37055
1750370797,2,HENDERSONVILLE HOSPITALIST SERVICES INC,,,,,,,355 NEW SHACKLE ISLAND RD,,HENDERSONVILLE,TN,370752300,208M00000X,37075
1700875879,2,THOMAS W ONSTOTTDDSPC AND LARRY E FARRIS DDSPC FAMILY DENTISTRY,,,,,,,201 5TH AVE W,,SPRINGFIELD,TN,371722415,1223G0001X,37172
1710977715,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,1332 HAZELWOOD DR,,SMYRNA,TN,371673922,261QU0200X,37167
1063401073,2,THE HEART AND VASCULAR CLINIC,,,,,,,2400 PATTERSON ST,SUITE 215,NASHVILLE,TN,372031562,207R00000X,37203
1568452431,2,ROBERTSON COUNTY GOVERNMENT FINANCE OFFICE,,,,,,,1305 HILL ST,,SPRINGFIELD,TN,371723200,3416L0300X,37172
1285624049,2,"WOMENS MEDICAL ASSOCIATES OF NASHVILLE,PC",,,,,,,2201 MURPHY AVE,SUITE 110,NASHVILLE,TN,372031835,207V00000X,37203
1205826005,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,2510 MURFREESBORO ROAD,SUITE 2,NASHVILLE,TN,372173547,261QU0200X,37217
1629068085,2,"GENETICS ASSOCIATES, INC,",,,,,,,1916 PATTERSON ST,SUITE 400,NASHVILLE,TN,372032120,291U00000X,37203
1053301556,2,BLAKEFORD AT GREEN HILLS CORPORATION,,,,,,,11 BURTON HILLS BLVD,,NASHVILLE,TN,372156138,314000000X,37215
1104816354,2,INCEPTION RX,,,,,,,502 HIGHLAND TERRACE,,MURFREESBORO,TN,371302419,333600000X,37130
1740271865,2,"RAINTREE INVESTMENTS & ASSOCIATES, LLC",,,,,,,415 PACE ST,,MC MINNVILLE,TN,371101246,314000000X,37110
1811988777,2,"FIRST CALL AMBULANCE SERVICE, LLC",,,,,,,1930 AIRLANE DRIVE,,NASHVILLE,TN,372103810,3416L0300X,37210
1598756330,2,"TOWN OF GREENLAND, NH",,,,,,,575 PORTSMOUTH AVE,,GREENLAND,NH,38402251,341600000X,38402
1245221092,2,"VERUS HEALTHCARE, LLC",,,,,,,1569 MALLORY LANE,BUILDING 100,BRENTWOOD,TN,37027,332B00000X,37027
1629069356,2,MIDSTATE SLEEP CENTER,,,,,,,110 29TH AVE N,SUITE 300,NASHVILLE,TN,372031401,261QS1200X,37203
1477544195,2,"TENNESSEE THERAPY CENTER, INC",,,,,,,110 29TH AVE N,SUITE 300,NASHVILLE,TN,372031401,332B00000X,37203
1841281581,2,"DIAGNOSTIC TESTINGS CENTERS, INC",,,,,,,28 WHITE BRIDGE RD,SUITE 110,NASHVILLE,TN,372051499,261QS1200X,37205
1902897432,2,"CEDAR CREEK HOME HEALTH CARE AGENCY, LLC",,,,,,,6978 LEBANON RD,SUITE B,MOUNT JULIET,TN,371227201,251E00000X,37122
1174514541,2,"TENNESSEE THERAPY CENTERS, LLC",,,,,,,110 29TH AVE N,SUITE 300,NASHVILLE,TN,372031401,261QS1200X,37203
1083605521,2,THOMAS K HARTZ DMD PC,,,,,,,237A DUNBAR CAVE RD,,CLARKSVILLE,TN,370435734,122300000X,37043
1801887005,2,"ODDS DENTAL SERVICES, P.C.",,,,,,,101 CHEERFUL PL,,LA VERGNE,TN,370863608,1223G0001X,37086
1912998139,2,"SPRINGCARE MEDICAL SUPPLIES, INC.",,,,,,,1161 MURFREESBORO PIKE,SUITE 105,NASHVILLE,TN,372172222,332B00000X,37217
1043291289,2,H DOUGLAS HOLLIDAY MD PLLC,,,,,,,2001 GLEN ECHO RD,,NASHVILLE,TN,372152807,207R00000X,37215
1386625051,2,"PROGRESS IN MOTION, LLC",,,,,,,149 RAYMOND HIRSCH PKWY,SUITE # 1,WHITE HOUSE,TN,371884332,225100000X,37188
1669453304,2,"CARDIOVASCULAR SURGERY ASSOCIATES, P.C.",,,,,,,4230 HARDING RD,SUITE 202,NASHVILLE,TN,372052013,208G00000X,37205
1689655250,2,S.GJ&P INC,,,,,,,516B W MAIN ST,,SMITHVILLE,TN,371661118,332B00000X,37166
1942281571,2,"MCKEE, CURRY, STANLEY, PEDIATRIC DENTISTRY PARTNERSHIP",,,,,,,614 E CLARK BLVD,,MURFREESBORO,TN,371302121,1223P0221X,37130
1649251299,2,COUNTY OF HICKMAN OFFICE OF COUNTY EXECUTIVE,,,,,,,106 E. SWAN ST,,CENTERVILLE,TN,37033,341600000X,37033
1427039858,2,"NES TENNESSEE, INC.",,,,,,,2835 HIGHWAY 231 N,,SHELBYVILLE,TN,371607327,207P00000X,37160
1417938846,2,"MACON COUNTY GENERAL HOSPITAL, INC.",,,,,,,204 MEDICAL DRIVE,,LAFAYETTE,TN,370839999,282NC0060X,37083
1518948850,2,NASHVILLE HEALTH MANAGEMENT FOUNDATION & COMPREHENSIVE CARE CENTER,,,,,,,1900 PATTERSON ST,SUITE 100,NASHVILLE,TN,372032119,207RI0200X,37203
1255312658,2,BECKMANS PRESCRIPTION SHOP,,,,,,,120 E COLLEGE ST,,MURFREESBORO,TN,371303723,332B00000X,37130
1871574129,2,"BOULEVARD TERRACE, LLC",,,,,,,1530 MIDDLE TENNESSEE BLVD,,MURFREESBORO,TN,37130,314000000X,37130
1346221736,2,SMITH COUNTY DRUG CENTER INC,,,,,,,1210 MAIN ST N,,CARTHAGE,TN,370301037,3336C0003X,37030
1487635710,2,"ALL SEASONS ALLERGY & ASTHMA ASSOC, P.C.",,,,,,,100 COVEY DR,STE 210,FRANKLIN,TN,370675665,207KA0200X,37067
1760464036,2,"DIGESTIVE DISEASE ENDOSCOPY CENTER, INC.",,,,,,,222 22ND AVE N,SUITE 300,NASHVILLE,TN,372031852,261QE0800X,37203
1508848771,2,"MCKENDREE VILLAGE, INC.",,,,,,,4347 LEBANON PIKE,,HERMITAGE,TN,370761243,313M00000X,37076
1871575043,2,AMBULATORY SURGERY CENTER OF COOL SPRINGS LLC,,,,,,,2009 MALLORY LN,SUITE 100,FRANKLIN,TN,370672845,261QA1903X,37067
1245212380,2,"GENERATIONS HEALTH ASSOCIATION, INC.",,,,,,,5736 MANCHESTER HWY,,MORRISON,TN,373577503,261QM0801X,37357
1861474694,2,"DANIEL C. BURCHFIELD, DMD ET AL PTR.",,,,,,,131 INDIAN LAKE BLVD,SUITE 100,HENDERSONVILLE,TN,370756210,1223S0112X,37075
1457333155,2,SPRING MEADOWS HEALTH CARE CENTER LLC,,,,,,,220 HIGHWAY 76,,CLARKSVILLE,TN,370434102,314000000X,37043
1336121821,2,GOLD SKIN CARE CENTER,,,,,,,2000 RICHARD JONES RD,SUITE 220,NASHVILLE,TN,372152885,174400000X,37215
1881676468,2,"INTREPID OF EAST TENNESSEE, INC.",,,,,,,350 CALDWELL ST,,MCMINNVILLE,TN,371102032,251E00000X,37110
1124001466,2,JOHN Q BINHLAM MDPC,,,,,,,1649 WESTGATE CIR STE 100,,BRENTWOOD,TN,370278573,207N00000X,37027
1487637757,2,ADVANCED PHARMACY SERVICES,,,,,,,232 HERITAGE PARK DR STE 101,,MURFREESBORO,TN,371291574,,37129
1871576298,2,"HOME HEALTH CARE OF MIDDLE TENNESSEE, LLC",,,,,,,2 INTERNATIONAL PLAZA,SUITE 901,NASHVILLE,TN,37217,251E00000X,37217
1568445765,2,SEIBERS DME & OXYGEN,,,,,,,488 N CHANCERY ST,,MC MINNVILLE,TN,371102022,332BX2000X,37110
1194708354,2,FC OF TENNESSEE INC,,,,,,,393 WALLACE ROAD,SUITE 301,NASHVILLE,TN,372114834,251E00000X,37211
1497738587,2,MEDICAL SERVICES OF AMERICA INC,,,,,,,120 HOLIDAY CT,STE 4,FRANKLIN,TN,370671302,332B00000X,37067
