npi,entity_type_code,provider_org_name,provider_last_name,provider_first_name,provider_middle_name,provider_name_prefix,provider_name_suffix,provider_credential,provider_business_address_1,provider_business_address_2,provider_business_city,provider_business_state,primary_taxonomy,provider_business_zip5,zip,cbsa
1356348684,2,"WILLOWBROOK HOME HEALTH CARE AGENCY, INC.",,,,,,,1451 ELM HILL PIKE,SUITE 102,NASHVILLE,TN,251E00000X,37210,37210,34980
1174520407,2,"WILLOWBROOK HEALTH & HOME SERVICES, INC.",,,,,,,1451 ELM HILL PIKE,SUITE 201,NASHVILLE,TN,261QM1300X,37210,37210,34980
1083611313,2,COMPREHENSIVE REHABILITATION OF LAFAYETTE INC,,,,,,,602 RED BOILING SPRINGS ROAD,,LAFAYETTE,TN,261QR0400X,37083,37083,34980
1578560785,2,"PRODUCTIVEMD, LLC",,,,,,,330 MALLORY STATION RD,F17,FRANKLIN,TN,293D00000X,37067,37067,34980
1790782027,2,"WILLOWBROOK HOSPICE, INC.",,,,,,,235 NOAH DR STE 300,,FRANKLIN,TN,251G00000X,37064,37064,34980
1225035355,2,LABORATORY FOR KIDNEY PATHOLOGY INC,,,,,,,1916 PATTERSON ST,SUITE 501,NASHVILLE,TN,291U00000X,37203,37203,34980
1427055425,2,PHYSICIANS PAVILION LP,,,,,,,545 STONECREST PKWY,,SMYRNA,TN,261QA1903X,37167,37167,34980
1235136987,2,DIABETES CORPORATION OF AMERICA,,,,,,,233 BEDFORD WAY,,FRANKLIN,TN,333600000X,37064,37064,34980
1477550192,2,"GORDIAN MEDICAL X, INC.",,,,,,,1097 WESTON DR,SUITE B,MOUNT JULIET,TN,332B00000X,37122,37122,34980
1083611990,2,ASSOCIATED ENDOSCOPY LLC,,,,,,,5651 FRIST BLVD,SUITE 307,HERMITAGE,TN,261QE0800X,37076,37076,34980
1215935770,2,"PHARMACARE COMPOUNDING PHARMACY, LLC",,,,,,,1097 WESTON DR,,MT JULIET,TN,3336C0003X,37122,37122,34980
1902804271,2,"PAIN MANAGEMENT GROUP, P.C.",,,,,,,5801 CROSSINGS BLVD,,ANTIOCH,TN,208VP0014X,37013,37013,34980
1912905183,2,"AVALON HEALTH CARE, LLC",,,,,,,421 OCALA DR,,NASHVILLE,TN,314000000X,37211,37211,34980
1134127392,2,"AVALON HEALTH CARE, LLC.",,,,,,,329 MURFREESBORO RD,,NASHVILLE,TN,314000000X,37210,37210,34980
1255339396,2,"NOPCO OF TENNESSEE, INC.",,,,,,,1707 STATE ST,,NASHVILLE,TN,222Z00000X,37203,37203,34980
1386642239,2,"MEDTRAC SOLUTIONS, INC.",,,,,,,714 S CHURCH ST,SUITE B,MURFREESBORO,TN,332B00000X,37130,37130,34980
1164421913,2,"IHS ACQUISITION XXX, INC.",,,,,,,2525 PERIMETER PLACE DR,SUITE 100,NASHVILLE,TN,333600000X,37214,37214,34980
1699774109,2,"THE CENTER FOR CYTOGENETICS, INC",,,,,,,1719 W END AVE,SUITE 403E,NASHVILLE,TN,291U00000X,37203,37203,34980
1831198332,2,HMC MEDICAL GROUP,,,,,,,214 CENTERVIEW DR,SUITE 350,BRENTWOOD,TN,207Q00000X,37027,37027,34980
1871592139,2,LIFEGUARD AMBULANCE SERVICE OF TENNESSEE LLC,,,,,,,1933 ELM TREE DR,,NASHVILLE,TN,341600000X,37210,37210,34980
1225038011,2,RHA TENNESSEE GROUP HOMES,,,,,,,3350 MEMORIAL BLVD,,MURFREESBORO,TN,315P00000X,37129,37129,34980
1215937982,2,SELECT SPECIALTY HOSPITAL NASHVILLE INC,,,,,,,2000 HAYES STREET,SUITE 500,NASHVILLE,TN,282E00000X,37236,37236,34980
1487654927,2,COUNTY OF SUMNER,,,,,,,255 AIRPORT RD.,,GALLATIN,TN,3416L0300X,37066,37066,34980
1508866898,2,"COMMUNITY CARE OF RUTHERFORD COUNTY, INC.",,,,,,,901EAST COUNTY FARM RD,,MURFREESBORO,TN,314000000X,37127,37127,34980
1629078670,2,MIDDLE TENNESSEE FAMILY MEDICINE,,,,,,,237 W NORTHFIELD BLVD STE 101,,MURFREESBORO,TN,207Q00000X,37129,37129,34980
1700886868,2,HARPETH TERRACE CONVALESCENT CENTER,,,,,,,1287 W MAIN ST,,FRANKLIN,TN,,37064,37064,34980
1235130212,2,"FRANKLIN UROLOGICAL ASSOCIATES, P.C.",,,,,,,100 COVEY DR,STE 207,FRANKLIN,TN,208800000X,37067,37067,34980
1649271578,2,"ODYSSEY HEALTHCARE OPERATING A, LP",,,,,,,1321 MURFREESBORO PIKE STE 510,,NASHVILLE,TN,251G00000X,37217,37217,34980
1225039761,2,ENDOSCOPY CENTER OF ST THOMAS LP,,,,,,,4230 HARDING RD,SUITE 400,NASHVILLE,TN,261QA1903X,37205,37205,34980
1104827534,2,"PROHEALTH RURAL HEALTH SERVICES, INC",,,,,,,1325 W MAIN ST,,FRANKLIN,TN,261QF0400X,37064,37064,34980
1205838018,2,"PLASTIC SURGERY CTR OF NASHVILLE, PLLC",,,,,,,1915 STATE ST,,NASHVILLE,TN,208200000X,37203,37203,34980
1093717845,2,"NASHVILLE PLASTIC SURGERY INSTITUTE, PLLC",,,,,,,2020 21ST AVE S STE 100,,NASHVILLE,TN,208200000X,37212,37212,34980
1952303539,2,"FRANKLIN DERMATOLOGY GROUP, PLC",,,,,,,740 COOL SPRINGS BLVD.,#200,FRANKLIN,TN,207N00000X,37067,37067,34980
1265434708,2,SPIROCARE DME LLC,,,,,,,3325 ASPEN GROVE DR STE 104,,FRANKLIN,TN,332BX2000X,37067,37067,34980
1588656508,2,SAINT THOMAS CAMPUS SURGICARE LP,,,,,,,4230 HARDING PIKE,"PLAZA EAST, SUITE 300",NASHVILLE,TN,261QA1903X,37205,37205,34980
1164414983,2,"HARPETH PEDIATRICS, PLLC",,,,,,,4085 MALLORY LN,STE. 204,FRANKLIN,TN,208000000X,37067,37067,34980
1326030156,2,"TENNESSEE ORTHOPEDICS, P.C.",,,,,,,101 PHYSICIANS WAY,STE. 111,LEBANON,TN,207X00000X,37090,37090,34980
1396737128,2,TENNESSEE ORTHOPEDICS PT CLINIC,,,,,,,1018 W MAIN ST,,LEBANON,TN,225100000X,37087,37087,34980
1700878360,2,"NEPHROLOGY ASSOCIATES, PC",,,,,,,28 WHITE BRIDGE RD,STE. 300,NASHVILLE,TN,207RN0300X,37205,37205,34980
1053303305,2,"SAMARITAN RECOVERY COMMUNITY, INC.",,,,,,,319 S 4TH ST,,NASHVILLE,TN,324500000X,37206,37206,34980
1194718346,2,REGENTS MEDICAL CENTER PC,,,,,,,254 REN MAR DR,SUITE 100,PLEASANT VIEW,TN,207R00000X,37146,37146,34980
1225021348,2,TENNESSEE STATE VETERANS HOME BOARD,,,,,,,345 COMPTON ROAD,,MURFREESBORO,TN,314000000X,37130,37130,34980
1669465654,2,HERMITAGE PSYCHIATRIC GROUP,,,,,,,5653 FRIST BLVD,SUITE 331,HERMITAGE,TN,2084P0800X,37076,37076,34980
1609869247,2,MOORE LIFE ENTERPRISES INC,,,,,,,1412 COUNTY HOSPITAL RD,,NASHVILLE,TN,208M00000X,37218,37218,34980
1396738720,2,POLITZER AND DUROCHER PLC,,,,,,,4322 HARDING PIKE,SUITE 214,NASHVILLE,TN,152W00000X,37205,37205,34980
1538153937,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,8 CITY BLVD,SUITE 300,NASHVILLE,TN,207X00000X,37209,37209,34980
1497749899,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,1800 MEDICAL CENTER PARKWAY,SUITE 200,MURFREESBORO,TN,207X00000X,37129,37129,34980
1205820610,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,300 STONECREST BLVD,SUITE 300,SMYRNA,TN,207X00000X,37167,37167,34980
1831183250,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,4230 HARDING PIKE STE 1000,,NASHVILLE,TN,207X00000X,37205,37205,34980
1568456986,2,TENNESSEE ORTHOPAEDIC ALLIANCE PA,,,,,,,3443 DICKERSON PIKE,SUITE 480,NASHVILLE,TN,207X00000X,37207,37207,34980
1750375499,2,EMI II INC.,,,,,,,106 FREE HILL RD,,HENDERSONVILLE,TN,332BX2000X,37075,37075,34980
1689668329,2,"ED MEDICAL, INC.",,,,,,,106 FREE HILL ROAD,,HENDERSONVILLE,TN,332BX2000X,37075,37075,34980
1457346702,2,DUE WEST FAMILY HEALTHCARE INC,,,,,,,607 W DUE WEST AVE STE 102,,MADISON,TN,207Q00000X,37115,37115,34980
1629063995,2,JOHN OVERHOLT MD PLLC,,,,,,,400 SUGARTREE LN,SUITE 100,FRANKLIN,TN,174400000X,37064,37064,34980
1265427538,2,D L BROWN PRIMARY CARE CENTER,,,,,,,3109 JOHN A MERRITT BLVD,,NASHVILLE,TN,,37209,37209,34980
1720073893,2,KNOWLES HOME ASSISTED LIVING & DAY CARE SERVICES,,,,,,,1010 CAMILLA CALDWELL LN,,NASHVILLE,TN,310400000X,37218,37218,34980
1225023393,2,"MID-STATE PULMONARY ASSOCIATES, PLLC",,,,,,,300 20TH AVE N,SUITE 503,NASHVILLE,TN,207RP1001X,37203,37203,34980
1679568745,2,"NASHVILLE INPATIENT MANAGEMENT SERVICES, PLC",,,,,,,300 20TH AVE N,SUITE 503,NASHVILLE,TN,207RC0200X,37203,37203,34980
1083609168,2,BORDEAUX LONG TERM CARE,,,,,,,1414 COUNTY HOSPITAL RD,,NASHVILLE,TN,314000000X,37218,37218,34980
1144215047,2,METRO PUBLIC HEALTH DEPARTMENT,,,,,,,526 8TH AVE S,,NASHVILLE,TN,261Q00000X,37203,37203,34980
1528053311,2,"AMERICAN ENDOSCOPY CENTER, P.C.",,,,,,,1308 BRIARVILLE RD,,MADISON,TN,261QA1903X,37115,37115,34980
1518952308,2,"NASHVILLE DIGESTIVE DISEASE CENTER, P.C.",,,,,,,1308 BRIARVILLE RD,,MADISON,TN,207RG0100X,37115,37115,34980
1063407856,2,MIDSTATE HEALTH ASSOCIATES INC,,,,,,,2201 MURPHY AVE,SUITE # 220,NASHVILLE,TN,208D00000X,37203,37203,34980
1093700833,2,GOODLETTSVILLE PEDIATRICS PC,,,,,,,3103 BUSINESS PARK CIR STE 100,,GOODLETTSVILLE,TN,208000000X,37072,37072,34980
1194710707,2,DICKSON MEDICAL EQUIPMENT INC.,,,,,,,760 HIGHWAY 46 S,,DICKSON,TN,332BX2000X,37055,37055,34980
1366438640,2,RIVERGATE PEDIATRICS PC,,,,,,,807 MEADOWLARK LN,,GOODLETTSVILLE,TN,208000000X,37072,37072,34980
1740276450,2,"MID-STATE CARDIOLOGY ASSOCIATES, P.C.",,,,,,,222 22ND AVE N,SUITE 400,NASHVILLE,TN,174400000X,37203,37203,34980
1912994625,2,"UNIVITA OF TENNESSEE, INC.",,,,,,,947 WOODLAND ST,,NASHVILLE,TN,332BC3200X,37206,37206,34980
1700873171,2,COLUMBIA MEDICAL GROUP-SOUTHERN HILLS INC,,,,,,,397 WALLACE RD BLDG C,SUITE 100,NASHVILLE,TN,207Q00000X,37211,37211,34980
1972590388,2,"HENDERSONVILLE OB/GYN, LLC",,,,,,,353 NEW SHACKLE ISLAND RD,SUITE 221B,HENDERSONVILLE,TN,207V00000X,37075,37075,34980
1821085259,2,MEDICAL GROUP SUMMIT INC,,,,,,,3901 CENTRAL PIKE,SUITE 352,HERMITAGE,TN,207R00000X,37076,37076,34980
1114914579,2,ARTHRITIS SPECIALISTS OF NASHVILLE INC,,,,,,,2410 PATTERSON ST,SUITE 500,NASHVILLE,TN,207RR0500X,37203,37203,34980
1679560023,2,COLUMBIA MEDICAL GROUP - THE FRIST CLINIC INC,,,,,,,2400 PATTERSON ST,SUITE 400,NASHVILLE,TN,207R00000X,37203,37203,34980
1184611501,2,MEDICAL GROUP-STONECREST INC,,,,,,,300 STONECREST BLVD,SUITE 110,SMYRNA,TN,207R00000X,37167,37167,34980
1336136779,2,"SUMMIT SLEEP AND LUNG ASSOCIATES, P.C.",,,,,,,3901 CENTRAL PIKE,SUITE 352,HERMITAGE,TN,207RP1001X,37076,37076,34980
1134116510,2,ARTHRITIS SPECIALISTS OF NASHVILLE INC,,,,,,,3443 DICKERSON PIKE,SUITE 520,NASHVILLE,TN,207RR0500X,37207,37207,34980
1669469805,2,"EDGEFIELD REHABILITATION, LLC",,,,,,,610 GALLATIN AVE,,NASHVILLE,TN,282N00000X,37206,37206,34980
1891782637,2,AGAPEE SURGICAL ASSOCIATES INC.,,,,,,,607 W DUE WEST AVE STE 102,,MADISON,TN,208600000X,37115,37115,34980
1902894330,2,"I V SOLUTIONS, INC.",,,,,,,217 W MAPLEWOOD LANE,,NASHVILLE,TN,3336H0001X,37207,37207,34980
1487642765,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,1616 GALLATIN RD N,,MADISON,TN,261QU0200X,37115,37115,34980
1548258825,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,339 WHITE BRIDGE PIKE,,NASHVILLE,TN,261QU0200X,37209,37209,34980
1891783981,2,"SUMMIT BONE & JOINT, PLLC",,,,,,,5653 FRIST BLVD,SUITE 731,HERMITAGE,TN,207X00000X,37076,37076,34980
1538157649,2,DIVERSICARE LEASING CORP.,,,,,,,200 MAYFIELD DR,,SMYRNA,TN,314000000X,37167,37167,34980
1124017959,2,VANDERBILT UNIVERSITY MEDICAL SCHOOL,,,,,,,VANDERBILT UNIVERSITY DIVISION OF MEDICAL GENETICS,DD 2205 MCN,NASHVILLE,TN,170300000X,37232,37232,34980
1528057254,2,DENTISTRY AND FASTBRACES PC,,,,,,,107 NEW BRICK CHURCH PIKE,SUITE C,GOODLETTSVILLE,TN,261QD0000X,37072,37072,34980
1790774206,2,"MID-STATE PHYSICIANS, LLC",,,,,,,2400 PATTERSON ST,,NASHVILLE,TN,207RC0000X,37203,37203,34980
1104815430,2,NASHVILLE BONE AND JOINT PLLC,,,,,,,5651 FRIST BLVD,SUITE 400,HERMITAGE,TN,207X00000X,37076,37076,34980
1528057791,2,MAURY REGIONAL HOSPITAL,,,,,,,830 HATCHER LN,,COLUMBIA,TN,251E00000X,38401,38401,34980
1154310241,2,SHELLEY ANN SIGUR DDS PC,,,,,,,1926 HWY 46 S,,DICKSON,TN,1223G0001X,37055,37055,34980
1750370797,2,HENDERSONVILLE HOSPITALIST SERVICES INC,,,,,,,355 NEW SHACKLE ISLAND RD,,HENDERSONVILLE,TN,208M00000X,37075,37075,34980
1700875879,2,THOMAS W ONSTOTTDDSPC AND LARRY E FARRIS DDSPC FAMILY DENTISTRY,,,,,,,201 5TH AVE W,,SPRINGFIELD,TN,1223G0001X,37172,37172,34980
1710977715,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,1332 HAZELWOOD DR,,SMYRNA,TN,261QU0200X,37167,37167,34980
1063401073,2,THE HEART AND VASCULAR CLINIC,,,,,,,2400 PATTERSON ST,SUITE 215,NASHVILLE,TN,207R00000X,37203,37203,34980
1568452431,2,ROBERTSON COUNTY GOVERNMENT FINANCE OFFICE,,,,,,,1305 HILL ST,,SPRINGFIELD,TN,3416L0300X,37172,37172,34980
1285624049,2,"WOMENS MEDICAL ASSOCIATES OF NASHVILLE,PC",,,,,,,2201 MURPHY AVE,SUITE 110,NASHVILLE,TN,207V00000X,37203,37203,34980
1205826005,2,"TENNESSEE URGENT CARE ASSOCIATES, LLC",,,,,,,2510 MURFREESBORO ROAD,SUITE 2,NASHVILLE,TN,261QU0200X,37217,37217,34980
1629068085,2,"GENETICS ASSOCIATES, INC,",,,,,,,1916 PATTERSON ST,SUITE 400,NASHVILLE,TN,291U00000X,37203,37203,34980
1053301556,2,BLAKEFORD AT GREEN HILLS CORPORATION,,,,,,,11 BURTON HILLS BLVD,,NASHVILLE,TN,314000000X,37215,37215,34980
1104816354,2,INCEPTION RX,,,,,,,502 HIGHLAND TERRACE,,MURFREESBORO,TN,333600000X,37130,37130,34980
1811988777,2,"FIRST CALL AMBULANCE SERVICE, LLC",,,,,,,1930 AIRLANE DRIVE,,NASHVILLE,TN,3416L0300X,37210,37210,34980
1245221092,2,"VERUS HEALTHCARE, LLC",,,,,,,1569 MALLORY LANE,BUILDING 100,BRENTWOOD,TN,332B00000X,37027,37027,34980
1629069356,2,MIDSTATE SLEEP CENTER,,,,,,,110 29TH AVE N,SUITE 300,NASHVILLE,TN,261QS1200X,37203,37203,34980
1477544195,2,"TENNESSEE THERAPY CENTER, INC",,,,,,,110 29TH AVE N,SUITE 300,NASHVILLE,TN,332B00000X,37203,37203,34980
1841281581,2,"DIAGNOSTIC TESTINGS CENTERS, INC",,,,,,,28 WHITE BRIDGE RD,SUITE 110,NASHVILLE,TN,261QS1200X,37205,37205,34980
1902897432,2,"CEDAR CREEK HOME HEALTH CARE AGENCY, LLC",,,,,,,6978 LEBANON RD,SUITE B,MOUNT JULIET,TN,251E00000X,37122,37122,34980
1174514541,2,"TENNESSEE THERAPY CENTERS, LLC",,,,,,,110 29TH AVE N,SUITE 300,NASHVILLE,TN,261QS1200X,37203,37203,34980
1801887005,2,"ODDS DENTAL SERVICES, P.C.",,,,,,,101 CHEERFUL PL,,LA VERGNE,TN,1223G0001X,37086,37086,34980
1912998139,2,"SPRINGCARE MEDICAL SUPPLIES, INC.",,,,,,,1161 MURFREESBORO PIKE,SUITE 105,NASHVILLE,TN,332B00000X,37217,37217,34980
1043291289,2,H DOUGLAS HOLLIDAY MD PLLC,,,,,,,2001 GLEN ECHO RD,,NASHVILLE,TN,207R00000X,37215,37215,34980
1386625051,2,"PROGRESS IN MOTION, LLC",,,,,,,149 RAYMOND HIRSCH PKWY,SUITE # 1,WHITE HOUSE,TN,225100000X,37188,37188,34980
1669453304,2,"CARDIOVASCULAR SURGERY ASSOCIATES, P.C.",,,,,,,4230 HARDING RD,SUITE 202,NASHVILLE,TN,208G00000X,37205,37205,34980
1942281571,2,"MCKEE, CURRY, STANLEY, PEDIATRIC DENTISTRY PARTNERSHIP",,,,,,,614 E CLARK BLVD,,MURFREESBORO,TN,1223P0221X,37130,37130,34980
1417938846,2,"MACON COUNTY GENERAL HOSPITAL, INC.",,,,,,,204 MEDICAL DRIVE,,LAFAYETTE,TN,282NC0060X,37083,37083,34980
1518948850,2,NASHVILLE HEALTH MANAGEMENT FOUNDATION & COMPREHENSIVE CARE CENTER,,,,,,,1900 PATTERSON ST,SUITE 100,NASHVILLE,TN,207RI0200X,37203,37203,34980
1255312658,2,BECKMANS PRESCRIPTION SHOP,,,,,,,120 E COLLEGE ST,,MURFREESBORO,TN,332B00000X,37130,37130,34980
1871574129,2,"BOULEVARD TERRACE, LLC",,,,,,,1530 MIDDLE TENNESSEE BLVD,,MURFREESBORO,TN,314000000X,37130,37130,34980
1346221736,2,SMITH COUNTY DRUG CENTER INC,,,,,,,1210 MAIN ST N,,CARTHAGE,TN,3336C0003X,37030,37030,34980
1487635710,2,"ALL SEASONS ALLERGY & ASTHMA ASSOC, P.C.",,,,,,,100 COVEY DR,STE 210,FRANKLIN,TN,207KA0200X,37067,37067,34980
1760464036,2,"DIGESTIVE DISEASE ENDOSCOPY CENTER, INC.",,,,,,,222 22ND AVE N,SUITE 300,NASHVILLE,TN,261QE0800X,37203,37203,34980
1508848771,2,"MCKENDREE VILLAGE, INC.",,,,,,,4347 LEBANON PIKE,,HERMITAGE,TN,313M00000X,37076,37076,34980
1871575043,2,AMBULATORY SURGERY CENTER OF COOL SPRINGS LLC,,,,,,,2009 MALLORY LN,SUITE 100,FRANKLIN,TN,261QA1903X,37067,37067,34980
1861474694,2,"DANIEL C. BURCHFIELD, DMD ET AL PTR.",,,,,,,131 INDIAN LAKE BLVD,SUITE 100,HENDERSONVILLE,TN,1223S0112X,37075,37075,34980
1336121821,2,GOLD SKIN CARE CENTER,,,,,,,2000 RICHARD JONES RD,SUITE 220,NASHVILLE,TN,174400000X,37215,37215,34980
1124001466,2,JOHN Q BINHLAM MDPC,,,,,,,1649 WESTGATE CIR STE 100,,BRENTWOOD,TN,207N00000X,37027,37027,34980
1487637757,2,ADVANCED PHARMACY SERVICES,,,,,,,232 HERITAGE PARK DR STE 101,,MURFREESBORO,TN,,37129,37129,34980
1871576298,2,"HOME HEALTH CARE OF MIDDLE TENNESSEE, LLC",,,,,,,2 INTERNATIONAL PLAZA,SUITE 901,NASHVILLE,TN,251E00000X,37217,37217,34980
1194708354,2,FC OF TENNESSEE INC,,,,,,,393 WALLACE ROAD,SUITE 301,NASHVILLE,TN,251E00000X,37211,37211,34980
1497738587,2,MEDICAL SERVICES OF AMERICA INC,,,,,,,120 HOLIDAY CT,STE 4,FRANKLIN,TN,332B00000X,37067,37067,34980
1831172956,2,DANIEL H GREEN,,,,,,,7802 HWY 25E,,CROSS PLAINS,TN,3336C0003X,37049,37049,34980
1063495083,2,CARTHAGE FAMILY HEALTHCARE INC,,,,,,,133 HOSPITAL DR,SUITE 200,CARTHAGE,TN,207Q00000X,37030,37030,34980
1780667675,2,"METRO MEDICAL HOMECARE, INC.",,,,,,,1911 CHURCH STREET,,NASHVILLE,TN,332B00000X,37203,37203,34980
1891778841,2,CARDINAL HEALTH 128 LLC,,,,,,,202 CUMBERLAND BND,,NASHVILLE,TN,3336S0011X,37228,37228,34980
1174506059,2,METRO MEDICAL PHARMACY INC.,,,,,,,1911 CHURCH ST,,NASHVILLE,TN,332B00000X,37203,37203,34980
1437132339,2,METRO MEDICAL SKYLINE PHARMACY LP,,,,,,,3443 DICKERSON PIKE STE 110,,NASHVILLE,TN,333600000X,37207,37207,34980
1083697999,2,SUMNER HOMECARE PHARMACY LLC,,,,,,,300 STEAM PLANT RD,SUITE 104,GALLATIN,TN,332B00000X,37066,37066,34980
1568445377,2,AIR EVAC EMS INC,,,,,,,32 WELDON DR,,LAFAYETTE,TN,3416A0800X,37083,37083,34980
1518940030,2,"PAUL H. STRAUGHN, DDS, PC",,,,,,,3326 ASPEN GROVE DR,SUITE 255,FRANKLIN,TN,261QD0000X,37067,37067,34980
1932183134,2,CHRISTIAN CARE CENTER OF SPRINGFIELD LLC,,,,,,,704 5TH AVE E,,SPRINGFIELD,TN,314000000X,37172,37172,34980
1962486191,2,CHRISTIAN CARE CENTER OF CHEATHAM COUNTY INC,,,,,,,2501 RIVER RD,,ASHLAND CITY,TN,314000000X,37015,37015,34980
1649254608,2,"AHF CENTRAL STATES, INC",,,,,,,1710 BELCOURT AVE,,NASHVILLE,TN,314000000X,37212,37212,34980
